run_id,flow_id,event,event_time,detail
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|80|39756|tcp,snort_detection,1789654407.1498907,[1:1000002:1] Port Scan Detected
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|80|39756|tcp,snort_override,1789654407.1500134,
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|80|39756|tcp,policy_install_sent,1789654407.1500993,tcp
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|80|39756|tcp,block_confirmed,1789654407.2045531,
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|0|0|icmp,snort_detection,1789654408.5750504,[1:1000003:1] ICMP Flood Detected
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|0|0|icmp,snort_override,1789654408.5751867,
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|0|0|icmp,policy_install_sent,1789654408.5752788,icmp
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|0|0|icmp,snort_detection,1789654408.5756037,[1:1000003:1] ICMP Flood Detected
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|0|0|icmp,snort_override,1789654408.5756745,
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|0|0|icmp,policy_install_sent,1789654408.5757458,icmp
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|0|0|icmp,block_confirmed,1789654408.6971338,
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|0|0|icmp,block_confirmed,1789654408.6973014,
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|80|39768|tcp,snort_detection,1789654408.9335585,[1:1000004:1] SSH Brute Force Detected
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|80|39768|tcp,snort_override,1789654408.9337783,
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|80|39768|tcp,policy_install_sent,1789654408.933859,tcp
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|39756|80|tcp,snort_detection,1789654408.9344182,[1:1000004:1] SSH Brute Force Detected
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|39756|80|tcp,snort_override,1789654408.9344773,
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|39756|80|tcp,policy_install_sent,1789654408.9345229,tcp
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|80|39768|tcp,block_confirmed,1789654408.9842505,
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|39756|80|tcp,block_confirmed,1789654408.9844232,
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|80|38932|tcp,snort_detection,1789654410.5693479,[1:1000001:1] SYN Flood Detected
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|80|38932|tcp,snort_override,1789654410.5695503,
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|80|38932|tcp,policy_install_sent,1789654410.5696602,tcp
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|80|38932|tcp,block_confirmed,1789654410.5899088,
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|0|0|icmp,snort_detection,1789654411.2014525,[1:1000003:1] ICMP Flood Detected
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|0|0|icmp,snort_override,1789654411.2015862,
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|38932|80|tcp,snort_detection,1789654411.5467644,[1:1000004:1] SSH Brute Force Detected
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|38932|80|tcp,snort_override,1789654411.546856,
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|38932|80|tcp,policy_install_sent,1789654411.5469346,tcp
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|39768|80|tcp,snort_detection,1789654411.5482726,[1:1000004:1] SSH Brute Force Detected
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|39768|80|tcp,snort_override,1789654411.548314,
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|39768|80|tcp,policy_install_sent,1789654411.5483592,tcp
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|38932|80|tcp,block_confirmed,1789654411.6058176,
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|39768|80|tcp,block_confirmed,1789654411.606004,
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|80|39756|tcp,recovery,1789654491.7271767,idle_timeout
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|0|0|icmp,recovery,1789654492.1770425,idle_timeout
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|80|39768|tcp,recovery,1789654492.287966,idle_timeout
20260917T174308_8493c1af,10.0.0.2|10.0.0.1|80|38932|tcp,recovery,1789654499.598842,idle_timeout
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|0|0|icmp,recovery,1789654548.3092103,idle_timeout
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|38932|80|tcp,recovery,1789654548.5857856,idle_timeout
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|39756|80|tcp,recovery,1789654548.5860527,idle_timeout
20260917T174308_8493c1af,10.0.0.1|10.0.0.2|39768|80|tcp,recovery,1789654548.5861955,idle_timeout
