mode,scope,n_runs,Precision_mean,Recall_mean,F1_mean,FPR_mean,MCC_mean,Avg_Detection_Delay_mean,Avg_Mitigation_Delay_mean,Precision_ci95,Recall_ci95,F1_ci95,FPR_ci95,MCC_ci95,Avg_Detection_Delay_ci95,Avg_Mitigation_Delay_ci95
snort_only,icmp_flood,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snort_only,normal,10,0.0,0.0,0.0,0.0838,0.0,0.9721,0.0006,0.0,0.0,0.0,0.0902,0.0,0.154,0.0003
snort_only,overall,10,0.003,0.0,0.0,0.0838,-0.1922,0.9701,0.0006,0.0069,0.0,0.0,0.0902,0.163,0.1561,0.0003
snort_only,port_scan,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snort_only,ssh_bruteforce,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snort_only,syn_flood,10,0.1,0.0,0.0,0.0,0.0,0.0024,0.0,0.2262,0.0,0.0,0.0,0.0,0.0055,0.0
ml_only,icmp_flood,10,0.5,0.2998,0.3666,0.0,0.0,0.8019,0.0003,0.377,0.2497,0.2853,0.0,0.0,0.7402,0.0003
ml_only,normal,10,0.0,0.0,0.0,0.1305,0.0,0.4679,0.0006,0.0,0.0,0.0,0.1009,0.0,0.357,0.0005
ml_only,overall,10,0.4166,0.1197,0.1844,0.1305,-0.0093,0.4668,0.0005,0.3143,0.0941,0.1422,0.1009,0.0101,0.3577,0.0004
ml_only,port_scan,10,0.5,0.153,0.2192,0.0,0.0,0.0004,0.0006,0.377,0.1492,0.2042,0.0,0.0,0.0003,0.0004
ml_only,ssh_bruteforce,10,0.5,0.256,0.3386,0.0,0.0,0.0009,0.0002,0.377,0.1931,0.2553,0.0,0.0,0.0007,0.0002
ml_only,syn_flood,10,0.5,0.1022,0.1692,0.0,0.0,0.0004,0.0004,0.377,0.0783,0.1291,0.0,0.0,0.0003,0.0003
hybrid_static,icmp_flood,10,0.5,0.25,0.3333,0.0,0.0,0.9013,0.0002,0.377,0.1885,0.2513,0.0,0.0,0.7121,0.0001
hybrid_static,normal,10,0.0,0.0,0.0,0.1048,0.0,0.6374,0.0014,0.0,0.0,0.0,0.1266,0.0,0.4182,0.0017
hybrid_static,overall,10,0.4573,0.1167,0.1852,0.1048,0.0145,0.5794,0.0005,0.3464,0.089,0.1404,0.1266,0.0825,0.4423,0.0003
hybrid_static,port_scan,10,0.5,0.2115,0.296,0.0,0.0,0.0004,0.0004,0.377,0.1629,0.2255,0.0,0.0,0.0004,0.0004
hybrid_static,ssh_bruteforce,10,0.5,0.25,0.3333,0.0,0.0,0.0008,0.0002,0.377,0.1885,0.2513,0.0,0.0,0.0006,0.0002
hybrid_static,syn_flood,10,0.5,0.0909,0.1531,0.0,0.0,0.0064,0.0004,0.377,0.0707,0.1183,0.0,0.0,0.0138,0.0003
hybrid_online,icmp_flood,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_online,normal,10,0.0,0.0,0.0,0.0012,0.0,0.6979,0.0034,0.0,0.0,0.0,0.0005,0.0,0.241,0.0036
hybrid_online,overall,10,0.3982,0.0275,0.0515,0.001,0.0291,0.4697,0.0003,0.3678,0.0258,0.0481,0.0005,0.0462,0.362,0.0001
hybrid_online,port_scan,10,0.1667,0.0006,0.0012,0.0,0.0,0.0001,0.0,0.4285,0.0015,0.003,0.0,0.0,0.0004,0.0001
hybrid_online,ssh_bruteforce,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_online,syn_flood,10,0.4444,0.0314,0.0587,0.0,0.0,0.0003,0.0001,0.4051,0.0289,0.0538,0.0,0.0,0.0003,0.0001
