timestamp,TP,FP,FN,TN,Precision,Recall,F1,FPR,Avg_Det_Delay,Avg_Block_Delay
1784379573.2673776,0,0,0,10,0.0,0.0,0.0,0.0,1.358,0.0
1784379579.4655964,0,0,0,20,0.0,0.0,0.0,0.0,0.947,0.0
1784379587.8680384,0,0,0,30,0.0,0.0,0.0,0.0,0.831,0.0
1784379595.6262293,0,0,3,37,0.0,0.0,0.0,0.0,0.735,0.0
1784379595.6821356,0,0,13,37,0.0,0.0,0.0,0.0,0.588,0.0
1784379596.777212,0,0,23,37,0.0,0.0,0.0,0.0,0.52,0.0
1784379596.8714306,0,0,33,37,0.0,0.0,0.0,0.0,0.486,0.0
1784379596.9665241,0,0,43,37,0.0,0.0,0.0,0.0,0.452,0.0
1784379597.012195,0,0,53,37,0.0,0.0,0.0,0.0,0.407,0.0
1784379597.1339338,0,0,63,37,0.0,0.0,0.0,0.0,0.37,0.0
1784379597.18219,0,0,73,37,0.0,0.0,0.0,0.0,0.34,0.0
1784379597.2293134,0,0,83,37,0.0,0.0,0.0,0.0,0.315,0.0
1784379597.2699509,0,0,93,37,0.0,0.0,0.0,0.0,0.294,0.0
1784379597.317116,0,0,103,37,0.0,0.0,0.0,0.0,0.276,0.0
1784379597.3676858,0,0,113,37,0.0,0.0,0.0,0.0,0.26,0.0
1784379597.4178486,0,0,123,37,0.0,0.0,0.0,0.0,0.247,0.0
1784379597.4776359,0,0,133,37,0.0,0.0,0.0,0.0,0.235,0.0
1784379597.5361862,0,0,143,37,0.0,0.0,0.0,0.0,0.224,0.0
1784379597.5741565,0,0,153,37,0.0,0.0,0.0,0.0,0.215,0.0
1784379597.6271214,0,0,163,37,0.0,0.0,0.0,0.0,0.206,0.0
1784379597.69209,0,0,173,37,0.0,0.0,0.0,0.0,0.198,0.0
1784379597.7913704,0,0,183,37,0.0,0.0,0.0,0.0,0.189,0.0
1784379597.8692496,0,0,193,37,0.0,0.0,0.0,0.0,0.181,0.0
1784379597.936231,0,0,203,37,0.0,0.0,0.0,0.0,0.174,0.0
1784379598.0185575,0,0,213,37,0.0,0.0,0.0,0.0,0.175,0.0
1784379598.0990098,0,0,223,37,0.0,0.0,0.0,0.0,0.244,0.0
1784379598.189202,0,0,233,37,0.0,0.0,0.0,0.0,0.308,0.0
1784379598.2978358,0,0,243,37,0.0,0.0,0.0,0.0,0.368,0.0
1784379598.4457016,0,0,253,37,0.0,0.0,0.0,0.0,0.422,0.0
1784379598.668313,0,0,263,37,0.0,0.0,0.0,0.0,0.472,0.0
1784379598.7724037,0,0,273,37,0.0,0.0,0.0,0.0,0.517,0.0
1784379598.8262794,0,0,283,37,0.0,0.0,0.0,0.0,0.557,0.0
1784379598.874238,0,0,293,37,0.0,0.0,0.0,0.0,0.595,0.0
1784379598.910741,0,0,303,37,0.0,0.0,0.0,0.0,0.63,0.0
1784379598.9637558,0,0,313,37,0.0,0.0,0.0,0.0,0.661,0.0
1784379599.0508754,0,0,323,37,0.0,0.0,0.0,0.0,0.69,0.0
1784379599.0945773,0,0,333,37,0.0,0.0,0.0,0.0,0.717,0.0
1784379599.1462567,0,0,343,37,0.0,0.0,0.0,0.0,0.742,0.0
1784379599.1793435,0,0,353,37,0.0,0.0,0.0,0.0,0.764,0.0
1784379599.233189,0,0,363,37,0.0,0.0,0.0,0.0,0.785,0.0
1784379599.2756906,0,0,373,37,0.0,0.0,0.0,0.0,0.805,0.0
1784379599.329509,0,0,383,37,0.0,0.0,0.0,0.0,0.823,0.0
1784379599.375363,0,0,393,37,0.0,0.0,0.0,0.0,0.839,0.0
1784379599.423105,0,0,403,37,0.0,0.0,0.0,0.0,0.854,0.0
1784379599.466042,0,0,413,37,0.0,0.0,0.0,0.0,0.868,0.0
1784379599.532209,0,0,423,37,0.0,0.0,0.0,0.0,0.882,0.0
1784379599.5780628,0,0,433,37,0.0,0.0,0.0,0.0,0.895,0.0
1784379599.615385,0,0,443,37,0.0,0.0,0.0,0.0,0.905,0.0
1784379599.6614625,0,0,453,37,0.0,0.0,0.0,0.0,0.914,0.0
1784379599.7440848,0,0,463,37,0.0,0.0,0.0,0.0,0.921,0.0
1784379599.8505776,0,0,473,37,0.0,0.0,0.0,0.0,0.927,0.0
1784379599.9045565,0,0,483,37,0.0,0.0,0.0,0.0,0.932,0.0
1784379599.951384,0,0,493,37,0.0,0.0,0.0,0.0,0.937,0.0
1784379599.9907696,0,0,503,37,0.0,0.0,0.0,0.0,0.943,0.0
1784379600.0408056,0,0,513,37,0.0,0.0,0.0,0.0,0.948,0.0
1784379600.0955625,0,0,523,37,0.0,0.0,0.0,0.0,0.953,0.0
1784379600.1442685,0,0,533,37,0.0,0.0,0.0,0.0,0.958,0.0
1784379600.17975,0,0,543,37,0.0,0.0,0.0,0.0,0.963,0.0
1784379600.2160935,0,0,553,37,0.0,0.0,0.0,0.0,0.968,0.0
1784379600.261727,0,0,563,37,0.0,0.0,0.0,0.0,0.972,0.0
1784379600.2978802,0,0,573,37,0.0,0.0,0.0,0.0,0.976,0.0
1784379600.3376853,0,0,583,37,0.0,0.0,0.0,0.0,0.981,0.0
1784379600.4059033,0,0,593,37,0.0,0.0,0.0,0.0,0.985,0.0
1784379600.4660676,0,0,603,37,0.0,0.0,0.0,0.0,0.988,0.0
1784379600.5207286,0,0,613,37,0.0,0.0,0.0,0.0,0.991,0.0
1784379600.6195772,0,0,623,37,0.0,0.0,0.0,0.0,0.994,0.0
1784379600.7214234,0,0,633,37,0.0,0.0,0.0,0.0,0.996,0.0
1784379600.8726182,0,0,643,37,0.0,0.0,0.0,0.0,0.999,0.0
