timestamp,TP,FP,FN,TN,Precision,Recall,F1,FPR,Avg_Det_Delay,Avg_Block_Delay
1784632292.910301,10,0,0,0,1.0,1.0,1.0,0.0,0.971,0.011
1784632302.3651605,14,0,6,0,1.0,0.7,0.824,0.0,0.923,0.011
1784632310.8399584,14,0,16,0,1.0,0.467,0.636,0.0,0.771,0.011
1784632318.9321513,14,0,26,0,1.0,0.35,0.519,0.0,0.69,0.011
1784632319.4097226,24,0,26,0,1.0,0.48,0.649,0.0,0.64,0.232
1784632319.439182,34,0,26,0,1.0,0.567,0.723,0.0,0.607,0.339
1784632319.475224,44,0,26,0,1.0,0.629,0.772,0.0,0.582,0.404
1784632319.51054,54,0,26,0,1.0,0.675,0.806,0.0,0.563,0.451
1784632319.5582337,64,0,26,0,1.0,0.711,0.831,0.0,0.548,0.489
1784632319.6366494,74,0,26,0,1.0,0.74,0.851,0.0,0.535,0.526
1784632319.6730862,84,0,26,0,1.0,0.764,0.866,0.0,0.525,0.56
1784632319.8423626,94,0,26,0,1.0,0.783,0.879,0.0,0.516,0.592
1784632319.8863096,104,0,26,0,1.0,0.8,0.889,0.0,0.508,0.632
1784632319.9312377,114,0,26,0,1.0,0.814,0.898,0.0,0.501,0.669
1784632319.9838002,124,0,26,0,1.0,0.827,0.905,0.0,0.495,0.703
1784632320.0240757,134,0,26,0,1.0,0.838,0.912,0.0,0.489,0.735
1784632320.0598614,144,0,26,0,1.0,0.847,0.917,0.0,0.484,0.765
1784632320.0828624,154,0,26,0,1.0,0.856,0.922,0.0,0.48,0.793
1784632320.1357477,164,0,26,0,1.0,0.863,0.927,0.0,0.475,0.82
1784632320.1630862,174,0,26,0,1.0,0.87,0.93,0.0,0.471,0.845
1784632320.1914954,184,0,26,0,1.0,0.876,0.934,0.0,0.467,0.869
1784632320.2499518,194,0,26,0,1.0,0.882,0.937,0.0,0.463,0.892
1784632320.2916825,204,0,26,0,1.0,0.887,0.94,0.0,0.459,0.916
1784632320.3271086,214,0,26,0,1.0,0.892,0.943,0.0,0.456,0.939
1784632320.3686047,224,0,26,0,1.0,0.896,0.945,0.0,0.452,0.961
1784632320.4150584,234,0,26,0,1.0,0.9,0.947,0.0,0.449,0.983
1784632320.449739,244,0,26,0,1.0,0.904,0.949,0.0,0.446,1.005
1784632320.4898844,254,0,26,0,1.0,0.907,0.951,0.0,0.443,1.026
1784632320.5447142,264,0,26,0,1.0,0.91,0.953,0.0,0.44,1.047
1784632320.6534934,274,0,26,0,1.0,0.913,0.955,0.0,0.437,1.07
1784632320.6976807,284,0,26,0,1.0,0.916,0.956,0.0,0.435,1.093
1784632320.8068695,294,0,26,0,1.0,0.919,0.958,0.0,0.432,1.116
1784632320.8501477,304,0,26,0,1.0,0.921,0.959,0.0,0.429,1.141
1784632320.8865569,314,0,26,0,1.0,0.924,0.96,0.0,0.426,1.166
1784632320.9231021,324,0,26,0,1.0,0.926,0.961,0.0,0.424,1.189
1784632320.9623036,334,0,26,0,1.0,0.928,0.963,0.0,0.421,1.213
1784632321.0043812,344,0,26,0,1.0,0.93,0.964,0.0,0.419,1.236
1784632321.0261257,354,0,26,0,1.0,0.932,0.965,0.0,0.417,1.258
1784632321.0527427,364,0,26,0,1.0,0.933,0.966,0.0,0.415,1.279
1784632321.081236,374,0,26,0,1.0,0.935,0.966,0.0,0.413,1.3
1784632321.106233,384,0,26,0,1.0,0.937,0.967,0.0,0.41,1.321
1784632321.1326418,394,0,26,0,1.0,0.938,0.968,0.0,0.408,1.341
1784632321.1612442,404,0,26,0,1.0,0.94,0.969,0.0,0.406,1.36
1784632321.1893353,414,0,26,0,1.0,0.941,0.97,0.0,0.404,1.379
1784632321.2154913,424,0,26,0,1.0,0.942,0.97,0.0,0.402,1.398
1784632321.2571595,434,0,26,0,1.0,0.943,0.971,0.0,0.4,1.417
1784632321.3302083,444,0,26,0,1.0,0.945,0.972,0.0,0.398,1.436
1784632321.3575857,454,0,26,0,1.0,0.946,0.972,0.0,0.396,1.455
1784632321.3964012,464,0,26,0,1.0,0.947,0.973,0.0,0.393,1.473
1784632321.4431229,474,0,26,0,1.0,0.948,0.973,0.0,0.391,1.492
1784632321.493121,484,0,26,0,1.0,0.949,0.974,0.0,0.389,1.511
1784632321.631001,494,0,26,0,1.0,0.95,0.974,0.0,0.387,1.53
1784632321.9677217,504,0,26,0,1.0,0.951,0.975,0.0,0.385,1.557
1784632322.0037549,514,0,26,0,1.0,0.952,0.975,0.0,0.403,1.558
1784632322.0500863,524,0,26,0,1.0,0.953,0.976,0.0,0.434,1.544
1784632322.096472,534,0,26,0,1.0,0.954,0.976,0.0,0.465,1.531
1784632322.125745,544,0,26,0,1.0,0.954,0.977,0.0,0.494,1.518
