timestamp,TP,FP,FN,TN,Precision,Recall,F1,FPR,Avg_Det_Delay,Avg_Block_Delay
1784632004.9322062,10,0,0,0,1.0,1.0,1.0,0.0,1.027,0.004
1784632014.307159,10,0,10,0,1.0,0.5,0.667,0.0,1.062,0.004
1784632022.3676274,10,0,20,0,1.0,0.333,0.5,0.0,0.84,0.004
1784632028.4081454,10,0,30,0,1.0,0.25,0.4,0.0,0.787,0.004
1784632031.2447164,17,0,33,0,1.0,0.34,0.507,0.0,0.741,0.163
1784632031.2801602,27,0,33,0,1.0,0.45,0.621,0.0,0.691,0.257
1784632031.451379,37,0,33,0,1.0,0.529,0.692,0.0,0.654,0.323
1784632031.4885309,47,0,33,0,1.0,0.588,0.74,0.0,0.627,0.386
1784632031.5087786,57,0,33,0,1.0,0.633,0.776,0.0,0.605,0.431
1784632031.5295284,67,0,33,0,1.0,0.67,0.802,0.0,0.587,0.465
1784632031.5638304,77,0,33,0,1.0,0.7,0.824,0.0,0.571,0.492
1784632031.584838,87,0,33,0,1.0,0.725,0.841,0.0,0.558,0.517
1784632031.6087363,97,0,33,0,1.0,0.746,0.855,0.0,0.547,0.539
1784632031.6262527,107,0,33,0,1.0,0.764,0.866,0.0,0.536,0.558
1784632031.6484182,117,0,33,0,1.0,0.78,0.876,0.0,0.527,0.576
1784632031.6650681,127,0,33,0,1.0,0.794,0.885,0.0,0.519,0.591
1784632031.6834574,137,0,33,0,1.0,0.806,0.893,0.0,0.511,0.606
1784632031.714205,147,0,33,0,1.0,0.817,0.899,0.0,0.504,0.62
1784632031.7400286,157,0,33,0,1.0,0.826,0.905,0.0,0.498,0.634
1784632031.7682981,167,0,33,0,1.0,0.835,0.91,0.0,0.491,0.647
1784632031.784765,177,0,33,0,1.0,0.843,0.915,0.0,0.485,0.66
1784632031.8133821,187,0,33,0,1.0,0.85,0.919,0.0,0.479,0.672
1784632031.8461773,197,0,33,0,1.0,0.857,0.923,0.0,0.473,0.685
1784632031.8618424,207,0,33,0,1.0,0.863,0.926,0.0,0.468,0.697
1784632031.8839672,217,0,33,0,1.0,0.868,0.929,0.0,0.464,0.709
1784632031.9042027,227,0,33,0,1.0,0.873,0.932,0.0,0.459,0.721
1784632031.9193954,237,0,33,0,1.0,0.878,0.935,0.0,0.454,0.732
1784632031.9409585,247,0,33,0,1.0,0.882,0.937,0.0,0.45,0.743
1784632031.9653077,257,0,33,0,1.0,0.886,0.94,0.0,0.446,0.754
1784632031.981335,267,0,33,0,1.0,0.89,0.942,0.0,0.442,0.764
1784632031.9956062,277,0,33,0,1.0,0.894,0.944,0.0,0.438,0.774
1784632032.0104654,287,0,33,0,1.0,0.897,0.946,0.0,0.435,0.784
1784632032.023264,297,0,33,0,1.0,0.9,0.947,0.0,0.431,0.794
1784632032.0529828,307,0,33,0,1.0,0.903,0.949,0.0,0.427,0.804
1784632032.079161,317,0,33,0,1.0,0.906,0.951,0.0,0.424,0.813
1784632032.1104312,327,0,33,0,1.0,0.908,0.952,0.0,0.421,0.823
1784632032.1379817,337,0,33,0,1.0,0.911,0.953,0.0,0.417,0.833
1784632032.1665812,347,0,33,0,1.0,0.913,0.955,0.0,0.414,0.843
1784632032.2014105,357,0,33,0,1.0,0.915,0.956,0.0,0.411,0.854
1784632032.2305043,367,0,33,0,1.0,0.917,0.957,0.0,0.408,0.864
1784632032.2491333,377,0,33,0,1.0,0.92,0.958,0.0,0.405,0.875
1784632032.2751503,387,0,33,0,1.0,0.921,0.959,0.0,0.402,0.885
1784632032.307626,397,0,33,0,1.0,0.923,0.96,0.0,0.399,0.896
1784632032.3279777,407,0,33,0,1.0,0.925,0.961,0.0,0.397,0.906
1784632032.3467495,417,0,33,0,1.0,0.927,0.962,0.0,0.394,0.916
1784632032.371183,427,0,33,0,1.0,0.928,0.963,0.0,0.391,0.927
1784632032.3996096,437,0,33,0,1.0,0.93,0.964,0.0,0.389,0.937
1784632032.4279315,447,0,33,0,1.0,0.931,0.964,0.0,0.386,0.947
1784632032.4619699,457,0,33,0,1.0,0.933,0.965,0.0,0.384,0.957
1784632032.4803846,467,0,33,0,1.0,0.934,0.966,0.0,0.381,0.967
1784632032.5040233,477,0,33,0,1.0,0.935,0.967,0.0,0.379,0.978
1784632032.5255148,487,0,33,0,1.0,0.937,0.967,0.0,0.377,0.988
1784632032.5479262,497,0,33,0,1.0,0.938,0.968,0.0,0.374,0.998
1784632032.5709827,507,0,33,0,1.0,0.939,0.968,0.0,0.372,1.008
1784632032.5932128,517,0,33,0,1.0,0.94,0.969,0.0,0.37,1.018
1784632032.6244955,527,0,33,0,1.0,0.941,0.97,0.0,0.367,1.028
1784632032.6478262,537,0,33,0,1.0,0.942,0.97,0.0,0.364,1.05
1784632032.6762667,547,0,33,0,1.0,0.943,0.971,0.0,0.358,1.072
1784632032.6995785,557,0,33,0,1.0,0.944,0.971,0.0,0.352,1.094
1784632032.7325253,567,0,33,0,1.0,0.945,0.972,0.0,0.346,1.115
1784632032.7569175,577,0,33,0,1.0,0.946,0.972,0.0,0.341,1.137
1784632032.7709696,587,0,33,0,1.0,0.947,0.973,0.0,0.335,1.157
1784632032.7849789,597,0,33,0,1.0,0.948,0.973,0.0,0.33,1.178
1784632032.7960515,607,0,33,0,1.0,0.948,0.974,0.0,0.325,1.197
1784632032.8156176,617,0,33,0,1.0,0.949,0.974,0.0,0.32,1.216
1784632032.8285146,627,0,33,0,1.0,0.95,0.974,0.0,0.315,1.235
1784632032.842251,637,0,33,0,1.0,0.951,0.975,0.0,0.31,1.253
1784632032.865506,647,0,33,0,1.0,0.951,0.975,0.0,0.305,1.271
1784632032.8903747,657,0,33,0,1.0,0.952,0.976,0.0,0.301,1.289
1784632032.903857,667,0,33,0,1.0,0.953,0.976,0.0,0.297,1.306
1784632032.9178867,677,0,33,0,1.0,0.954,0.976,0.0,0.293,1.322
1784632032.9285884,687,0,33,0,1.0,0.954,0.977,0.0,0.289,1.339
1784632032.9418988,697,0,33,0,1.0,0.955,0.977,0.0,0.285,1.355
1784632032.9529905,707,0,33,0,1.0,0.955,0.977,0.0,0.281,1.37
1784632032.9654012,717,0,33,0,1.0,0.956,0.978,0.0,0.277,1.385
1784632032.9834905,727,0,33,0,1.0,0.957,0.978,0.0,0.273,1.4
1784632032.998726,737,0,33,0,1.0,0.957,0.978,0.0,0.27,1.414
1784632033.0123825,747,0,33,0,1.0,0.958,0.978,0.0,0.266,1.428
1784632033.0254488,757,0,33,0,1.0,0.958,0.979,0.0,0.263,1.441
1784632033.0411513,767,0,33,0,1.0,0.959,0.979,0.0,0.26,1.454
1784632033.052668,777,0,33,0,1.0,0.959,0.979,0.0,0.257,1.467
1784632033.063067,787,0,33,0,1.0,0.96,0.979,0.0,0.253,1.48
1784632033.0753367,797,0,33,0,1.0,0.96,0.98,0.0,0.25,1.493
1784632033.1080775,807,0,33,0,1.0,0.961,0.98,0.0,0.247,1.505
1784632033.1264734,817,0,33,0,1.0,0.961,0.98,0.0,0.245,1.517
1784632033.139337,827,0,33,0,1.0,0.962,0.98,0.0,0.242,1.529
1784632033.1633632,837,0,33,0,1.0,0.962,0.981,0.0,0.239,1.541
1784632033.174259,847,0,33,0,1.0,0.963,0.981,0.0,0.236,1.553
1784632033.1973593,857,0,33,0,1.0,0.963,0.981,0.0,0.234,1.565
1784632033.2129512,867,0,33,0,1.0,0.963,0.981,0.0,0.231,1.576
1784632033.2366812,877,0,33,0,1.0,0.964,0.982,0.0,0.228,1.588
1784632033.2784438,887,0,33,0,1.0,0.964,0.982,0.0,0.226,1.599
1784632033.3016481,897,0,33,0,1.0,0.965,0.982,0.0,0.224,1.61
1784632033.3255706,907,0,33,0,1.0,0.965,0.982,0.0,0.221,1.622
1784632033.354371,917,0,33,0,1.0,0.965,0.982,0.0,0.219,1.633
1784632033.381754,927,0,33,0,1.0,0.966,0.983,0.0,0.217,1.644
1784632033.3934357,937,0,33,0,1.0,0.966,0.983,0.0,0.214,1.655
1784632033.4173195,947,0,33,0,1.0,0.966,0.983,0.0,0.212,1.666
1784632033.4304428,957,0,33,0,1.0,0.967,0.983,0.0,0.21,1.677
1784632033.4454255,967,0,33,0,1.0,0.967,0.983,0.0,0.208,1.688
1784632033.4574852,977,0,33,0,1.0,0.967,0.983,0.0,0.206,1.699
1784632033.4953744,987,0,33,0,1.0,0.968,0.984,0.0,0.204,1.709
1784632033.512195,997,0,33,0,1.0,0.968,0.984,0.0,0.202,1.72
1784632033.5459244,1007,0,33,0,1.0,0.968,0.984,0.0,0.2,1.73
1784632033.5789514,1017,0,33,0,1.0,0.969,0.984,0.0,0.198,1.74
1784632033.5985827,1027,0,33,0,1.0,0.969,0.984,0.0,0.196,1.751
1784632033.610118,1037,0,33,0,1.0,0.969,0.984,0.0,0.194,1.761
1784632033.6285467,1047,0,33,0,1.0,0.969,0.984,0.0,0.193,1.771
1784632033.647755,1057,0,33,0,1.0,0.97,0.985,0.0,0.191,1.781
1784632033.6617098,1067,0,33,0,1.0,0.97,0.985,0.0,0.189,1.791
1784632033.675995,1077,0,33,0,1.0,0.97,0.985,0.0,0.187,1.801
1784632033.6867669,1087,0,33,0,1.0,0.971,0.985,0.0,0.188,1.811
1784632033.699399,1097,0,33,0,1.0,0.971,0.985,0.0,0.191,1.82
1784632033.7291963,1107,0,33,0,1.0,0.971,0.985,0.0,0.193,1.83
