timestamp,TP,FP,FN,TN,Precision,Recall,F1,FPR,Avg_Det_Delay,Avg_Block_Delay
1784040509.207895,0,0,10,0,0.0,0.0,0.0,0.0,1.975,0.0
1784040519.1938121,0,0,20,0,0.0,0.0,0.0,0.0,1.975,0.0
1784040527.3508472,2,0,28,0,1.0,0.067,0.125,0.0,1.973,0.0
1784040529.3669147,12,0,28,0,1.0,0.3,0.462,0.0,1.974,0.0
1784040529.4804766,22,0,28,0,1.0,0.44,0.611,0.0,2.026,0.0
1784040529.5875664,32,0,28,0,1.0,0.533,0.696,0.0,2.083,0.0
1784040529.746182,42,0,28,0,1.0,0.6,0.75,0.0,2.143,0.0
1784040529.8510253,52,0,28,0,1.0,0.65,0.788,0.0,2.202,0.0
1784040529.9533951,62,0,28,0,1.0,0.689,0.816,0.0,2.259,0.0
1784040530.055586,72,0,28,0,1.0,0.72,0.837,0.0,2.316,0.0
1784040530.183858,82,0,28,0,1.0,0.745,0.854,0.0,2.372,0.0
1784040530.200487,92,0,28,0,1.0,0.767,0.868,0.0,2.424,0.0
1784040530.2297375,102,0,28,0,1.0,0.785,0.879,0.0,2.469,0.0
1784040530.3214228,112,0,28,0,1.0,0.8,0.889,0.0,2.512,0.0
1784040530.4272711,122,0,28,0,1.0,0.813,0.897,0.0,2.557,0.0
1784040530.4734209,132,0,28,0,1.0,0.825,0.904,0.0,2.599,0.0
1784040530.5872693,142,0,28,0,1.0,0.835,0.91,0.0,2.641,0.0
1784040530.6735864,152,0,28,0,1.0,0.844,0.916,0.0,2.685,0.0
1784040530.8168185,162,0,28,0,1.0,0.853,0.92,0.0,2.728,0.0
1784040530.8684518,172,0,28,0,1.0,0.86,0.925,0.0,2.772,0.0
1784040530.9395802,182,0,28,0,1.0,0.867,0.929,0.0,2.815,0.0
1784040531.0297852,192,0,28,0,1.0,0.873,0.932,0.0,2.858,0.0
1784040531.078026,202,0,28,0,1.0,0.878,0.935,0.0,2.899,0.0
1784040531.165909,212,0,28,0,1.0,0.883,0.938,0.0,2.941,0.0
1784040531.1910226,222,0,28,0,1.0,0.888,0.941,0.0,2.98,0.0
1784040531.3508053,232,0,28,0,1.0,0.892,0.943,0.0,3.02,0.0
1784040531.5080714,242,0,28,0,1.0,0.896,0.945,0.0,3.063,0.0
1784040531.6396222,252,0,28,0,1.0,0.9,0.947,0.0,3.107,0.0
1784040531.7258666,262,0,28,0,1.0,0.903,0.949,0.0,3.152,0.0
1784040531.8169334,272,0,28,0,1.0,0.907,0.951,0.0,3.196,0.0
1784040531.9230804,282,0,28,0,1.0,0.91,0.953,0.0,3.241,0.0
1784040532.046582,292,0,28,0,1.0,0.912,0.954,0.0,3.286,0.0
1784040532.1398485,302,0,28,0,1.0,0.915,0.956,0.0,3.332,0.0
1784040532.2478101,312,0,28,0,1.0,0.918,0.957,0.0,3.378,0.0
1784040532.3906777,322,0,28,0,1.0,0.92,0.958,0.0,3.425,0.0
1784040532.4376335,332,0,28,0,1.0,0.922,0.96,0.0,3.472,0.0
1784040532.5194685,342,0,28,0,1.0,0.924,0.961,0.0,3.517,0.0
1784040532.6549807,352,0,28,0,1.0,0.926,0.962,0.0,3.564,0.0
1784040532.7068021,362,0,28,0,1.0,0.928,0.963,0.0,3.61,0.0
1784040532.7775044,372,0,28,0,1.0,0.93,0.964,0.0,3.655,0.0
1784040532.9032536,382,0,28,0,1.0,0.932,0.965,0.0,3.701,0.0
1784040533.0805292,392,0,28,0,1.0,0.933,0.966,0.0,3.748,0.0
1784040533.1485019,402,0,28,0,1.0,0.935,0.966,0.0,3.795,0.0
1784040533.173106,412,0,28,0,1.0,0.936,0.967,0.0,3.841,0.0
1784040533.2091613,422,0,28,0,1.0,0.938,0.968,0.0,3.886,0.0
1784040533.3436956,432,0,28,0,1.0,0.939,0.969,0.0,3.931,0.0
1784040533.4489534,442,0,28,0,1.0,0.94,0.969,0.0,3.976,0.0
1784040533.5253265,452,0,28,0,1.0,0.942,0.97,0.0,4.021,0.0
1784040533.5779667,462,0,28,0,1.0,0.943,0.971,0.0,4.064,0.0
1784040533.7187765,472,0,28,0,1.0,0.944,0.971,0.0,4.098,0.0
1784040533.752179,482,0,28,0,1.0,0.945,0.972,0.0,4.108,0.0
1784040533.7654696,488,0,32,0,1.0,0.938,0.968,0.0,4.099,0.0
1784040533.7657707,488,0,42,0,1.0,0.921,0.959,0.0,4.061,0.0
1784040533.765926,488,0,52,0,1.0,0.904,0.949,0.0,4.025,0.0
1784040533.766053,488,0,62,0,1.0,0.887,0.94,0.0,3.988,0.0
1784040533.7661998,488,0,72,0,1.0,0.871,0.931,0.0,3.952,0.0
1784040533.7665288,488,0,82,0,1.0,0.856,0.922,0.0,3.918,0.0
1784040533.7667239,488,0,92,0,1.0,0.841,0.914,0.0,3.885,0.0
1784040533.7668483,488,0,102,0,1.0,0.827,0.905,0.0,3.853,0.0
1784040533.7670145,488,0,112,0,1.0,0.813,0.897,0.0,3.822,0.0
1784040533.7671418,488,0,122,0,1.0,0.8,0.889,0.0,3.793,0.0
1784040533.7672513,488,0,132,0,1.0,0.787,0.881,0.0,3.764,0.0
1784040533.767361,488,0,142,0,1.0,0.775,0.873,0.0,3.737,0.0
1784040533.7674634,488,0,152,0,1.0,0.762,0.865,0.0,3.71,0.0
1784040533.76785,488,0,162,0,1.0,0.751,0.858,0.0,3.685,0.0
